Id,Label,timeset,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
Pokémon Origins,Pokémon Origins,,0,2,0,2,2,0,2,0,0,0,0,9,0,0
Blackwell Publishing,Blackwell Publishing,,0,2,0,2,2,0,2,0,0,0,0,14,0,1
The Iron Cross,The Iron Cross,,0,2,0,2,2,0,2,0,0,0,0,9,0,2
Road Movie,Road Movie,,0,3,0,3,3,0,3,0,0,0,0,2,0,3
"Kawasaki, Kanagawa","Kawasaki, Kanagawa",,0,2,0,2,2,0,2,0,0,0,0,16,0,4
What The Swedish Butler Saw,What The Swedish Butler Saw,,0,12,0,12,12,0,12,0,0,0,0,10,0,5
Pakistan–United Kingdom Relations,Pakistan–United Kingdom Relations,,0,2,0,2,2,0,2,0,0,0,0,16,0,6
Iris: Abroad,Iris: Abroad,,0,2,0,2,2,0,2,0,0,0,0,13,0,7
P. G. Wodehouse,P. G. Wodehouse,,0,14,311,325,14,311,325,4,0.315138,0.336743,161784.842075,13,0,20032
Horse,Horse,,0,2,0,2,2,0,2,0,0,0,0,16,0,12518
Authoritarianism,Authoritarianism,,0,2,0,2,2,0,2,0,0,0,0,12,0,9772
Cuba,Cuba,,0,10,0,10,10,0,10,0,0,0,0,4,0,12875
A Little Snow Fairy Sugar,A Little Snow Fairy Sugar,,0,2,0,2,2,0,2,0,0,0,0,9,0,15131
"Santander, Spain","Santander, Spain",,0,2,0,2,2,0,2,0,0,0,0,18,0,6424
Cyril Delevanti,Cyril Delevanti,,0,2,0,2,2,0,2,0,0,0,0,9,0,15413
Fugue State,Fugue State,,0,2,0,2,2,0,2,0,0,0,0,5,0,17585
Mbi Publishing Company,Mbi Publishing Company,,0,2,0,2,2,0,2,0,0,0,0,14,0,5394
Kensington,Kensington,,0,3,0,3,3,0,3,0,0,0,0,3,0,17403
Arsène Lupin (2004 Film),Arsène Lupin (2004 Film),,0,30,44,74,30,44,74,3,0.347033,0.353778,18601.392251,15,0,20032
L. Forbes Winslow,L. Forbes Winslow,,0,2,0,2,2,0,2,0,0,0,0,3,0,18663
Articulation (Sociology),Articulation (Sociology),,0,2,0,2,2,0,2,0,0,0,0,13,0,7610
Alexander Zwo,Alexander Zwo,,0,2,0,2,2,0,2,0,0,0,0,1,0,16652
The Turning Point (1977 Film),The Turning Point (1977 Film),,0,2,0,2,2,0,2,0,0,0,0,9,0,2687
Kuroko'S Basketball The Movie: Last Game,Kuroko'S Basketball The Movie: Last Game,,0,2,0,2,2,0,2,0,0,0,0,9,0,13316
Women'S Social And Political Union,Women'S Social And Political Union,,0,2,0,2,2,0,2,0,0,0,0,16,0,4146
Leeds Mercury,Leeds Mercury,,0,2,0,2,2,0,2,0,0,0,0,3,0,19408
Pine Jam,Pine Jam,,0,2,0,2,2,0,2,0,0,0,0,6,0,8569
Bigamy,Bigamy,,0,2,0,2,2,0,2,0,0,0,0,0,0,17880
Theodor W. Adorno,Theodor W. Adorno,,0,2,0,2,2,0,2,0,0,0,0,12,0,2577
Nobunaga No Shinobi,Nobunaga No Shinobi,,0,3,0,3,3,0,3,0,0,0,0,1,0,8264
Lute,Lute,,0,2,0,2,2,0,2,0,0,0,0,7,0,7466
White-Collar Worker,White-Collar Worker,,0,3,0,3,3,0,3,0,0,0,0,7,0,12051
Debrah Farentino,Debrah Farentino,,0,2,0,2,2,0,2,0,0,0,0,9,0,15125
Gabriel Fauré,Gabriel Fauré,,0,5,0,5,5,0,5,0,0,0,0,7,0,9534
Appeasement,Appeasement,,0,2,0,2,2,0,2,0,0,0,0,14,0,6054
1970 United Kingdom General Election,1970 United Kingdom General Election,,0,2,0,2,2,0,2,0,0,0,0,16,0,18028
Battle Of Nanking,Battle Of Nanking,,0,2,0,2,2,0,2,0,0,0,0,14,0,5956
Theodore Ropp,Theodore Ropp,,0,2,0,2,2,0,2,0,0,0,0,14,0,5023
Iso 3864,Iso 3864,,0,2,0,2,2,0,2,0,0,0,0,18,0,333
Edgar Wallace,Edgar Wallace,,0,3,0,3,3,0,3,0,0,0,0,13,0,19237
Really (Tv Channel),Really (Tv Channel),,0,3,0,3,3,0,3,0,0,0,0,8,0,1116
Romantic Fantasy,Romantic Fantasy,,0,4,0,4,4,0,4,0,0,0,0,11,0,1591
009 Re:Cyborg,009 Re:Cyborg,,0,3,0,3,3,0,3,0,0,0,0,9,0,15379
Syria–Lebanon Campaign,Syria–Lebanon Campaign,,0,3,0,3,3,0,3,0,0,0,0,14,0,2535
Azumanga Daioh,Azumanga Daioh,,0,2,0,2,2,0,2,0,0,0,0,9,0,14723
Julia Louis-Dreyfus,Julia Louis-Dreyfus,,0,2,0,2,2,0,2,0,0,0,0,2,0,11168
Captodiame,Captodiame,,0,2,0,2,2,0,2,0,0,0,0,12,0,10302
Bonnet (Headgear),Bonnet (Headgear),,0,2,0,2,2,0,2,0,0,0,0,0,0,15079
Iso 11940-2,Iso 11940-2,,0,2,0,2,2,0,2,0,0,0,0,18,0,427
Hitler: The Last Ten Days,Hitler: The Last Ten Days,,0,2,0,2,2,0,2,0,0,0,0,8,0,15241
Viacom18 Studios,Viacom18 Studios,,0,2,0,2,2,0,2,0,0,0,0,1,0,1877
The Boy Sherlock Holmes,The Boy Sherlock Holmes,,0,106,128,234,106,128,234,3,0.348734,0.357468,1953.370052,10,0,20032
Iso 6438,Iso 6438,,0,2,0,2,2,0,2,0,0,0,0,18,0,304
The Empire Strikes Back,The Empire Strikes Back,,0,2,0,2,2,0,2,0,0,0,0,1,0,1937
Ochipok,Ochipok,,0,2,0,2,2,0,2,0,0,0,0,0,0,14899
L. Sprague De Camp,L. Sprague De Camp,,0,3,0,3,3,0,3,0,0,0,0,13,0,7638
David Production,David Production,,0,2,0,2,2,0,2,0,0,0,0,6,0,14331
"A Gentle Madness: Bibliophiles, Bibliomanes, And The Eternal Passion For Books","A Gentle Madness: Bibliophiles, Bibliomanes, And The Eternal Passion For Books",,0,2,0,2,2,0,2,0,0,0,0,11,0,16060
Mixing Console,Mixing Console,,0,2,0,2,2,0,2,0,0,0,0,13,0,1325
